,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,notes,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match,HITL_match_notes
11,CE04OSBP-LJ01C-10-PHSEND107,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/LJ01C/LJ01C_2026/PHSEND107_2026/PHSEND107_20260808_201105_predeploy.JPG,P0117,ATOSU-70571-00002,,['ATOSU-70571-00002'],,['P0117'],TRUE,,TRUE,
12,CE04OSBP-LJ01C-11-HYDBBA105,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/LJ01C/LJ01C_2026/HYDBBA105_2026/HYDBBA105_20260809_185026_predeploy.JPG,1249,ATAPL-58324-00015,,['ATOSU-58324-00015'],,['1249'],TRUE,,TRUE,
13,CE04OSBP-LV01C-06-CAMDSB106,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/CAMDSB106/CAMDSB106_2026/CAMDSB106_20260810_111740_predeploy.JPG,18825,ATAPL-78437-0001A,,['ATAPL-78437-00001'],[0.56],['SUBC18825'],,,TRUE,
14,RS01SLBS-LJ01A-09-HYDBBA102,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1A/LJ01A/HYDBBA102/HYDBBA102_2026/HYDBBA102_20260811_074500_predeploy.JPG,1273,ATAPL-58324-00005,,['ATAPL-58324-00005'],,['1273'],TRUE,,TRUE,
15,RS01SLBS-LJ01A-12-DOSTAD101,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1A/LJ01A/DOSTAD101/DOSTAD101_2026/DOSTAD101_20260811_081756_predeploy.JPG,275,ATAPL-58320-00005,,['ATAPL-58320-00005'],,['275'],TRUE,,TRUE,
16,RS01SUM2-MJ01B-05-CAMDSB103,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1B/MJ01B/CAMDSB103/CAMDSB103_2026/CAMDSB103_20260810_171901_predeploy.JPG,20119,ATAPL-78437-00012,,['ATAPL-78437-00012'],[0.56],['SUBC20119'],,,TRUE,
17,RS03ASHS-PN03B-06-CAMHDA301,2026,,,,,['ATAPL-70248-00002'],,,,,,
18,RS03INT1-MJ03C-05-CAMDSB303,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN3B/MJ03C/CAMDSB303/CAMDSB303_2026/CAMDSB303_20260814_094017_predeploy.JPG,19007,ATAPL-78437-00007,,['ATAPL-78437-00007'],[0.56],['SUBC19007'],,,TRUE,
19,RS03INT1-MJ03C-07-D1000A301,2026,,,,,,,,,,,
20,RS03INT1-MJ03C-07-PPSDNA301,2026,,,,,,,,,,,
21,RS03INT1-MJ03C-07-RASFLA301,2026,,,,,,,,,,,
22,RS03INT1-MJ03C-09-TRHPHA302,2026,TRHPH_20260814_183320_predeploy.JPG,1073304-5,,,,,,,,,
