,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match,HITL_match_notes
12,CE02SHBP-LJ01D-09-PCO2WB103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PCO2WB103_2022/PCO2WB103_20230822_105848_recovered.JPG,C0080,ATOSU-70570-00002,['ATOSU-70570-00002'],,['C0080'],TRUE,,TRUE,
13,CE02SHBP-LJ01D-10-PHSEND103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PHSEND103_2022/PHSEND103_20230822_105918_recovered.JPG,P0116,ATOSU-70571-00001,['ATOSU-70571-00001'],,['P0116'],TRUE,,TRUE,
14,CE02SHBP-LJ01D-11-HYDBBA106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/HYDBBA106_2022/HYDBBA106_20230822_104438_recovered.JPG,1248,,['ATOSU-58324-00014'],,['1248'],TRUE,,TRUE,
15,CE02SHBP-MJ01C-07-ZPLSCB101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/ZPLSCB101_2022/ZPLSCB101_20230822_113011_recovered.JPG,1233,,,,,,,,
16,CE04OSBP-LJ01C-05-ADCPSI103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/ADCPSI103_2022/ADCPSI103_20230828_182817_recovered.JPG,21498,ATOSU-69825-00001,['ATOSU-69825-00001'],,['21498'],TRUE,,TRUE,
17,CE04OSBP-LJ01C-06-CTDBPO108,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/CTDBPO108_2022/CTDBPO108_20230828_182524_recovered.JPG,-7231,ATOSU-69828-00001,['ATOSU-69828-00001'],[0.38],['16P71176-7231'],,,TRUE,
18,CE04OSBP-LJ01C-06-DOSTAD108,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/DOSTAD108_2022/DOSTAD108_20230828_182609_recovered.JPG,133,ATOSU-58320-00021,['ATOSU-58320-00021'],,['133'],TRUE,,TRUE,
19,CE04OSBP-LJ01C-07-VEL3DC107,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/VEL3DC107_2022/VEL3DC107_20230828_182739_recovered.JPG,4940/8159,ATOSU-69829-00004,['ATOSU-69829-00004'],"[0.5, 0.44]","['VEC-4940', ' VEC-8159']",,,TRUE,
20,CE04OSBP-LJ01C-08-OPTAAC104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/OPTAAC104_2022/OPTAAC104_20230828_182406_recovered.JPG,191,ATOSU-69943-00010,['ATOSU-69943-00010'],,['191'],TRUE,,TRUE,
21,CE04OSBP-LJ01C-09-PCO2WB104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/PCO2WB104_2022/PCO2WB104_20230828_182838_recovered.JPG,C0064,ATOSU-70570-00001,['ATOSU-70570-00001'],,['C0064'],TRUE,,TRUE,
22,CE04OSBP-LJ01C-10-PHSEND107,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/PHSEND107_2022/PHSEND107_20230828_182900_recovered.JPG,P0117,ATOSU-70571-00002,['ATOSU-70571-00002'],,['P0117'],TRUE,,TRUE,
23,CE04OSBP-LJ01C-11-HYDBBA105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/HYDBBA105_2022/HYDBBA105_20230828_182139_recovered.JPG,1248,,['ATOSU-58324-00014'],,['1248'],TRUE,,TRUE,
24,CE04OSBP-LV01C-06-CAMDSB106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/CAMDSB106_2021/CAMDSB106_20230816_131118_recovered.JPG,,ATAPL-78437-0013A,,,,,,,
25,CE04OSPD-DP01B-01-CTDPFL105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2022/DP01B_20230909_092056_recovered.JPG,52-0139,ATAPL-67977-00008,['ATAPL-67977-00003'],,['52-0139'],TRUE,,TRUE,
26,CE04OSPD-DP01B-02-VEL3DA105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2022/DP01B_20230909_092020_recovered.JPG,1148,ATAPL-58346-00004,['ATAPL-58346-00004'],,['1148'],TRUE,,TRUE,
27,CE04OSPD-DP01B-03-FLCDRA103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2022/DP01B_20230909_091949_recovered.JPG,3400,ATOSU-70111-00007,['ATOSU-70111-00007'],,['3400'],TRUE,,TRUE,
28,CE04OSPD-DP01B-06-DOSTAD105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2022/DP01B_20230909_092132_recovered.JPG,459,ATAPL-58320-00001,['ATAPL-58320-00010'],,['459'],TRUE,,TRUE,
29,CE04OSPS-PC01B-4A-CTDPFA109,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01B/PC01B_2022/CTDPFA109_2022/CTDPFA109_20230816_132845_recovered.JPG,16-50018,ATOSU-6662-00006,['ATOSU-66662-00006'],,['16-50018'],TRUE,,TRUE,
30,CE04OSPS-PC01B-4B-PHSENA106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01B/PC01B_2022/PHSENA106_2022/PHSENA106_20230816_132739_recovered.JPG,P0115,ATOSU-58337-00007,['ATOSU-58337-00007'],,['P0115'],TRUE,,TRUE,
31,CE04OSPS-PC01B-4D-PCO2WA105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01B/PC01B_2022/PCO2WA105_2022/PCO2WA105_20230816_132548_recovered.JPG,C0079,ATOSU-58336-00006,['ATOSU-58336-00006'],,['C0079'],TRUE,,TRUE,
32,CE04OSPS-SF01B-2A-CTDPFA107,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/CTDPFA107_2022/CTDPFA107_20230816_105856_recovered.JPG,,ATAPL-66662-00005,['ATAPL-66662-00005'],,,,TRUE,TRUE,
33,CE04OSPS-SF01B-2A-DOFSTA107,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/DOFSTA107_2022/DOFSTA107_20230816_110003_recovered.JPG,,ATAPL-58694-00003,['ATAPL-58694-00003'],,,,TRUE,TRUE,
34,CE04OSPS-SF01B-2B-PHSENA108,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/PHSENA108_2022/PHSENA108_20230816_105708_recovered.JPG,P0133,ATAPL-58337-00006,['ATAPL-58337-00006'],,['P0133'],TRUE,,TRUE,
35,CE04OSPS-SF01B-3A-FLORTD104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/FLORTD104_2022/FLORTD104_20230816_110310_recovered.JPG,1292,ATAPL-58322-00009,['ATAPL-58324-00007'],,['1292'],TRUE,,TRUE,
36,CE04OSPS-SF01B-3B-OPTAAD105,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/OPTAAD105_2022/OPTAAD105_20230816_110154_recovered.JPG,186,ATAPL-58332-00004,['ATAPL-58332-00004'],,['186'],TRUE,,TRUE,
37,CE04OSPS-SF01B-4A-NUTNRA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/NUTNRA102_2022/NUTNRA102_20230816_105152_recovered.JPG,617,ATPAL-68020-00006,['ATAPL-68020-00006'],,['617'],TRUE,,TRUE,
38,CE04OSPS-SF01B-4B-VELPTD106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/VELPTD106_2022/VELPTD106_20230816_105106_recovered.JPG,7205/12227,ATAPL-70114-00006,"['ATAPL-66662-00002', 'ATAPL-70114-00006']","[0.31, 0.5, 0.5]","['16P71179-7205', 'AQS-7205', ' AQD-12227']",,,TRUE,
39,CE04OSPS-SF01B-4F-PCO2WA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01B/SF01B_2022/PCO2WA102_2022/PCO2WA102_20230816_105312_recovered.JPG,C0117,ATOSU-58336-00008,['ATOSU-58336-00008'],,['C0117'],TRUE,,TRUE,
40,RS01SBPD-DP01A-01-CTDPFL104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2022/DP01A_20230911_124456_recovered.JPG,52-0145,ATAPL-67977-00005,['ATAPL-67977-00005'],,['52-0145'],TRUE,,TRUE,
41,RS01SBPD-DP01A-02-VEL3DA103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2022/DP01A_20230911_124524_recovered.JPG,52-0139,ATAPL-67977-00003,['ATAPL-67977-00003'],,['52-0139'],TRUE,,TRUE,
42,RS01SBPD-DP01A-03-FLCDRA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2022/DP01A_20230911_124424_recovered.JPG,3460,ATAPL-70111-00003,['ATAPL-70111-00003'],,['3460'],TRUE,,TRUE,
43,RS01SBPD-DP01A-04-FLNTUA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2022/DP01A_20230911_124344_recovered.JPG,3468,ATAPL-70110-00003,['ATAPL-70110-00003'],,['3468'],TRUE,,TRUE,
44,RS01SBPD-DP01A-06-DOSTAD104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2022/DP01A_20230911_124442_recovered.JPG,137,,['ATOSU-58320-00008'],,['137'],TRUE,,TRUE,
45,RS01SBPS-PC01A-05-ADCPTD102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/ADCPTD102_2022/ADCPTD102_20230817_184601_recovered.JPG,23339,ATAPL-58315-00005,['ATAPL-58315-00005'],,['23339'],TRUE,,TRUE,
46,RS01SBPS-PC01A-06-VADCPA101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/VADCPA101_2022/VADCPA101_20230817_184230_recovered.JPG,19073,ATAPL-58345-00002,['ATAPL-58345-00002'],,['19073'],TRUE,,TRUE,
47,RS01SBPS-PC01A-07-CAMDSC102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/CAMDSC102_2022/CAMDSC102_20230817_184040_recovered.JPG,,ATAPL-78438-00006,,,,,,,
48,RS01SBPS-PC01A-08-HYDBBA103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/HYDBBA103_2022/HYDBBA103_20230817_182737_recovered.JPG,1361,,['ATAPL-58324-00008'],,['1361'],TRUE,,TRUE,
49,RS01SBPS-PC01A-4A-CTDPFA103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/CTDPFA103_2022/CTDPFA103_20230817_183300_recovered.JPG,16P65795-6914,ATAPL-66662-00001,['ATAPL-66662-00001'],,['16P65795-6914'],TRUE,,TRUE,
50,RS01SBPS-PC01A-4B-PHSENA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/PHSENA102_2022/PHSENA102_20230817_183145_recovered.JPG,P0164,ATAPL-58337-00014,['ATAPL-58337-00014'],,['P0164'],TRUE,,TRUE,
51,RS01SBPS-PC01A-4C-FLORDD103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC01A/PC01A_2022/FLORDD103_2022/FLORDD103_20230817_183410_recovered.JPG,1132,,['ATAPL-58322-00005'],,['1132'],TRUE,,TRUE,
52,RS01SBPS-SF01A-2A-CTDPFA102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/CTDPFA102_2022/CTDPFA102_20230817_190818_recovered.JPG,-7205,ATAPL-66662-00002,"['ATAPL-66662-00002', 'ATAPL-70114-00006']","[0.38, 0.62]","['16P71179-7205', 'AQS-7205']",,,TRUE,
53,RS01SBPS-SF01A-2D-PHSENA101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/PHSENA101_2022/PHSENA101_20230817_190724_recovered.JPG,P0163,ATAPL-58337-00013,['ATAPL-58337-00013'],,['P0163'],TRUE,,TRUE,
54,RS01SBPS-SF01A-3A-FLORTD101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/FLORTD101_2022/FLORTD101_20230817_191316_recovered.JPG,1130,ATPAL-58322-00003,['ATAPL-58346-00003'],,['1130'],TRUE,,TRUE,
55,RS01SBPS-SF01A-3B-OPTAAD101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/OPTAAD101_2022/OPTAAD101_20230817_191116_recovered.JPG,244,ATAPL-58332-00005,['ATAPL-58341-00002'],,['244'],TRUE,,TRUE,
56,RS01SBPS-SF01A-4A-NUTNRA101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/NUTNRA101_2022/NUTNRA101_20230817_190427_recovered.JPG,380,ATAPL-68020-00003,['ATAPL-68020-00003'],,['380'],TRUE,,TRUE,
57,RS01SBPS-SF01A-4B-VELPTD102,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/VELPTD102_2022/VELPTD102_20230817_190534_recovered.JPG,6389,ATAPL-70114-00003,['ATAPL-70114-00003'],[0.5],['AQS-6389'],,,TRUE,
58,RS01SBPS-SF01A-4F-PCO2WA101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF01A/SF01A_2022/PCO2WA101_2022/PCO2WA101_20230817_190321_recovered.JPG,C0091,ATAPL-58336-00004,['ATAPL-58336-00004'],,['C0091'],TRUE,,TRUE,
59,RS01SUM2-MJ01B-00-FLOBNC101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/FLOBNC101_2022/FLOBNC101_20230828_003905_recovered.JPG,,ATAPL-58344-00004,,,,,,,
60,RS01SUM2-MJ01B-00-FLOBNM101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/FLOBNM101_2022/FLOBNM101_20230828_002531_recovered.JPG,3,,['ATAPL-71444-00003'],,['3'],TRUE,,TRUE,
61,RS01SUM2-MJ01B-00-OSMOIA101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/OSMOIA101_2022/OSMOIA101_20230828_003308_recovered.JPG,1,,['ATAPL-71444-00001'],,['1'],TRUE,,TRUE,
62,RS01SUM2-MJ01B-05-CAMDSB103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/CAMDSB103_2021/CAMDSB103_20230827_181333_recovered.JPG,,ATOSU-70101-00013,,,,,,,
63,RS03ASHS-MJ03B-00-OSMOIA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03B/OSMOIA301_2022/OSMOIA301_20230826_083247_recovered.JPG,2,,['ATAPL-71444-00002'],,['2'],TRUE,,TRUE,
64,RS03AXBS-LJ03A-05-HPIESA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ03A/HPIESA301_2022/HPIESA301_20230903_215058_recovered.JPG,308,,['ATAPL-58323-00002'],[0.75],[' 308'],,,TRUE,
65,RS03AXBS-LJ03A-11-OPTAAC303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ03A/CTDPFB301_DOSTAD301_OPTAAC303_2022/OPTAAC303_20230913_085556_recovered.JPG,156,ATAPL-69943-00003,['ATAPL-69943-00003'],,['156'],TRUE,,TRUE,
66,RS03AXBS-LJ03A-12-CTDPFB301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ03A/CTDPFB301_DOSTAD301_OPTAAC303_2022/CTDPFB301_20230913_085400_recovered.JPG,-50031,ATAPL-67627-00003,['ATAPL-67627-00003'],[0.43],['16P71179-50031'],,,TRUE,
67,RS03AXBS-LJ03A-12-DOSTAD301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ03A/CTDPFB301_DOSTAD301_OPTAAC303_2022/CTDPFB301_20230913_085400_recovered.JPG,273,ATAPL-58320-00003,['ATAPL-58320-00003'],,['273'],TRUE,,TRUE,
68,RS03AXPD-DP03A-01-CTDPFL304,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV03A/DP03A_2022/DP03A_20230912_155625_recovered.JPG,52-0144,ATAPL-67977-00004,['ATAPL-67977-00004'],,['52-0144'],TRUE,,TRUE,
69,RS03AXPD-DP03A-02-VEL3DA303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV03A/DP03A_2022/DP03A_20230912_155652_recovered.JPG,1214,ATAPL-58346-00005,['ATAPL-58346-00005'],,['1214'],TRUE,,TRUE,
70,RS03AXPD-DP03A-03-FLCDRA302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV03A/DP03A_2022/DP03A_20230912_155723_recovered.JPG,3099,ATAPL-70110-00001,['ATAPL-70110-00001'],,['3099'],TRUE,,TRUE,
71,RS03AXPD-DP03A-03-FLNTUA302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV03A/DP03A_2022/DP03A_20230912_155729_recovered.JPG,3098,ATAPL-70111-00001,['ATAPL-70111-00001'],,['3098'],TRUE,,TRUE,
72,RS03AXPD-DP03A-06-DOSTAD304,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV03A/DP03A_2022/DP03A_20230912_155714_recovered.JPG,458,ATAPL-58320-00009,['ATAPL-58320-00009'],,['458'],TRUE,,TRUE,
73,RS03AXPS-PC03A-05-ADCPTD302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/ADCPTD302_2022/ADCPTD302_20230825_132805_recovered.JPG,18980,,['ATAPL-58315-00003'],,['18980'],TRUE,,TRUE,
74,RS03AXPS-PC03A-06-VADCPA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/VADCPA301_2022/VADCPA301_20230825_132551_recovered.JPG,19075,ATAPL-58345-00003,['ATAPL-58345-00003'],,['19075'],TRUE,,TRUE,
75,RS03AXPS-PC03A-07-CAMDSC302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/CAMDSC302_2022/CAMDSC302_20230825_131735_recovered.JPG,,ATAPL-78438-00001,,,,,,,
76,RS03AXPS-PC03A-08-HYDBBA303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/HYDBBA303_2022/HYDBBA303_20230825_135608_recovered.JPG,1272,,['ATAPL-58324-00004'],,['1272'],TRUE,,TRUE,
77,RS03AXPS-PC03A-4A-CTDPFA303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/CTDPFA303_2022/CTDPFA303_20230825_132142_recovered.JPG,16P71179-7233,,['ATAPL-66662-00004'],,['16P71179-7233'],TRUE,,TRUE,
78,RS03AXPS-PC03A-4A-DOSTAD303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/DOSTAD303_2022/DOSTAD303_20230825_132301_recovered.JPG,1794559,,,,,,,,
